date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:42	17893/17893	---M-Z	200	added ('OK')	text/html	etag:%2245e5-65fc8a3b-5bccacc13e7aa9b3;gz%22	https://validthemes.net/site-template/vifolio/index-9.html	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/index-9.html	(from )
23:26:43	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62c83a09-a3e8704ae7119b8a;gz%22	https://validthemes.net/robots.txt		(from )
23:26:44	1873/1873	---M--	200	added ('OK')	image/png	etag:%22751-65fc8a3b-3f746597215d8f3a;;;%22	https://validthemes.net/site-template/vifolio/assets/img/favicon.png	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/img/favicon.png	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:45	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-65fc8a3a-74bcd4b37507f55;gz%22	https://validthemes.net/site-template/vifolio/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:45	45633/45633	---M-Z	200	added ('OK')	text/css	etag:%22b241-65fc8a3a-6a417934b37fdf11;gz%22	https://validthemes.net/site-template/vifolio/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:45	2718/2718	---M-Z	200	added ('OK')	text/css	etag:%22a9e-65fc8a3a-a08af0031fbcf1dd;gz%22	https://validthemes.net/site-template/vifolio/assets/css/flaticon-set.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:46	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-65fc8a3a-d35ff7fb49319bff;gz%22	https://validthemes.net/site-template/vifolio/assets/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/magnific-popup.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:46	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-65fc8a3a-2038bc7935ba87d7;gz%22	https://validthemes.net/site-template/vifolio/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/owl.carousel.min.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:46	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-65fc8a3a-dc11146b62b007b3;gz%22	https://validthemes.net/site-template/vifolio/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/owl.theme.default.min.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:47	69727/69727	---M-Z	200	added ('OK')	text/css	etag:%221105f-65fc8a3a-10ab84d738653073;gz%22	https://validthemes.net/site-template/vifolio/assets/css/animate.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/animate.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:47	51426/51426	---M-Z	200	added ('OK')	text/css	etag:%22c8e2-65fc8a3a-cc247d9638599cf8;gz%22	https://validthemes.net/site-template/vifolio/assets/css/bootsnav.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/bootsnav.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:48	76813/76813	---M-Z	200	added ('OK')	text/css	etag:%2212c0d-65fc8a3b-ed52e67363260e22;gz%22	https://validthemes.net/site-template/vifolio/style.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/style.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:48	8013/8013	---M-Z	200	added ('OK')	text/css	etag:%221f4d-65fc8a3a-df819a09256609cc;gz%22	https://validthemes.net/site-template/vifolio/assets/css/responsive.css	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/css/responsive.css	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:49	10837/10837	---M-Z	200	added ('OK')	text/html	etag:%222a55-65fc8a3b-c58acafe6cabaa3f;gz%22	https://validthemes.net/site-template/vifolio/index.html	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/index.html	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:49	3853/3853	---M--	200	added ('OK')	image/png	etag:%22f0d-65fc8a3b-ee0ef953354a7490;;;%22	https://validthemes.net/site-template/vifolio/assets/img/logo-light.png	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/img/logo-light.png	(from https://validthemes.net/site-template/vifolio/index-9.html)
23:26:49	4519/4519	---M--	200	added ('OK')	image/png	etag:%2211a7-65fc8a3b-8213713e401b375e;;;%22	https://validthemes.net/site-template/vifolio/assets/img/logo.png	C:/My%20Web%20Sites/portfolio/validthemes.net/site-template/vifolio/assets/img/logo.png	(from https://validthemes.net/site-template/vifolio/index-9.html)
